Handle,Title,Option1 Name,Option1 Value,Body (HTML)
little-big-man-vhs-rental-drama,Little Big Man,Genre,Drama,"<p>Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.</p>"
little-death-vhs-floor-sale-thriller,Little Death,Genre,Thriller,"<p>A look at a young woman’s ritualistic experience spending a solitary three-months in winter, while caretaking a summerhouse in Nantucket. Comprised of just 28 shots.</p>"
little-secrets-vhs-floor-sale-kids-family,Little Secrets,Genre,Kids & Family,"<p>Emily is a plucky preteen who is entrusted with her young neighbors' most private and cherished secrets. Every Wednesday, Emily sets up a booth in her backyard that regularly attracts the guilty young souls of the neighborhood. These include Philip, whose clumsiness and his interest in Emily make him a challenging client. But complications ensue when she suddenly finds it difficult to keep all of her neighbors' secrets to herself.</p>"
loser-vhs-floor-sale-comedy,Loser,Genre,Comedy,"<p>On a university scholarship, a good natured student from the midwest gets a crash course in city life while dealing with three evil roommates. He befriends a virtually homeless college student whom he falls for, but she's dating a nasty professor.</p>"
memorial-day-vhs-rental-action,Memorial Day,Genre,Action,<p>An embittered satellite expert gets the opportunity for revenge against the USA by aiding terrorists in a plan to destroy the country's military base.</p>
men-in-black-vhs-floor-sale-sci-fi,Men In Black,Genre,Sci-Fi,"<p>After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.</p>"
night-of-the-fox-vhs-rental-action,Night of the Fox,Genre,Action,"<p>Fox Night movie was made in 1996. This film is a product of the Iranian country in the genre of action and mystery genre. Mohammad Motoselani, Hossein Yaryar and Gholamhossein Lotfi have been featured in the film.</p>"
night-shift-vhs-floor-sale-comedy,Night Shift,Genre,Comedy,"<p>A nebbish of a morgue attendant gets shunted back to the night shift where he is shackled with an obnoxious neophyte partner who dreams of the ""one great idea"" for success. His life takes a bizarre turn when a prostitute neighbor complains about the loss of her pimp. His partner, upon hearing the situation, suggests that they fill that opening themselves using the morgue at night.</p>"
o-lucky-man-vhs-rental-drama,O Lucky Man!,Genre,Drama,<p>An ambitious coffee salesman has a series of improbable and ironic adventures seemingly designed to challenge his naive idealism.</p>
phenomenon-vhs-floor-sale-drama,Phenomenon,Genre,Drama,"<p>An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.</p>"
pitch-black-vhs-floor-sale-sci-fi,Pitch Black,Genre,Sci-Fi,"<p>When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.</p>"
rushmore-vhs-floor-sale-comedy,Rushmore,Genre,Comedy,"<p>When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.</p>"
senseless-vhs-floor-sale-comedy,Senseless,Genre,Comedy,<p>A student gets his senses enhanced by an experimental drug. But abuse is not an option.</p>
snake-eyes-vhs-floor-sale-thriller,Snake Eyes,Genre,Thriller,"<p>All bets are off when shady homicide cop Rick Santoro witnesses a murder during a boxing match. Determined to solve the crime, he quickly learns that his search for answers will only uncover yet more questions in an ever-widening web of conspiracy, intrigue, and danger.</p>"
son-in-law-vhs-floor-sale-comedy,Son in Law,Genre,Comedy,"<p>Country girl Rebecca has spent most of her life on a farm in South Dakota, and, when she goes away to college in Los Angeles, Rebecca immediately feels out of place in the daunting urban setting. She is befriended by a savvy party animal named Crawl, who convinces the ambivalent Rebecca to stay in the city. When Thanksgiving break rolls around, Rebecca, no longer an innocent farm girl, invites Crawl back to South Dakota, where he pretends to be her fiancé.</p>"
stealing-time-vhs-rental-action,Stealing Time,Genre,Action,"<p>When a down-on-his-luck inventor builds a time machine to change the past, he unwittingly sets off a disastrous chain of events.</p>"
the-apostle-vhs-rental-drama,The Apostle,Genre,Drama,"<p>After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.</p>"
the-birdcage-vhs-floor-sale-comedy,The Birdcage,Genre,Comedy,<p>A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.</p>
the-devils-own-vhs-rental-thriller,The Devil's Own,Genre,Thriller,"<p>Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.</p>"
the-dogs-of-war-vhs-floor-sale-action,The Dogs of War,Genre,Action,"<p>Mercenary soldiers Jamie and Drew are hired by a large corporation to liberate Zangaro, a small African nation, from an despot. Havoc ensues.</p>"
the-foreigner-vhs-rental-action,The Foreigner,Genre,Action,<p>This story is about a freelance agent who is the courier of a package from France to Germany. He soon finds that many people want to get their hands on it.</p>
the-fugative-vhs-floor-sale-thriller,The Fugitive,Genre,Thriller,"<p>Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.</p>"
the-matrix-vhs-floor-sale-sci-fi,The Matrix,Genre,Sci-Fi,"<p>Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.</p>"
the-mummy-returns-vhs-floor-sale-action,The Mummy Returns,Genre,Action,"<p>Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.</p>"
the-rock-vhs-floor-sale-action,The Rock,Genre,Action,"<p>When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.</p>"
the-saint-vhs-floor-sale-action,The Saint,Genre,Action,"<p>Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.</p>"
the-secretkingdom-vhs-rental-kids-family,The SecretKingdom,Genre,Kids & Family,"<p>Three kids discover a tiny kingdom beneath their kitchen sink and are drawn inside, becoming involved with the miniature world's civil war.</p>"
the-shadow-vhs-floor-sale-sci-fi,The Shadow,Genre,Sci-Fi,"<p>The Shadow battles a villain known as The Black Tiger, who has the power to make himself invisible and is trying to take over the world with his death ray.</p>"
the-sixth-sense-vhs-floor-sale-horror,The Sixth Sense,Genre,Horror,"<p>Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.</p>"
the-skulls,The Skulls,Genre,Thriller,"<p>A senior at an Ivy League college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.</p>"
the-transporter-vhs-floor-sale-action,The Transporter,Genre,Action,"<p>Former Special Forces officer Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.</p>"
the-witches-of-eastwick-vhs-floor-sale-comedy,The Witches of Eastwick,Genre,Comedy,"<p>Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.</p>"
three-kings-vhs-floor-sale-action,Three Kings,Genre,Action,"<p>A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.</p>"
traffic-vhs-floor-sale-drama,Traffic,Genre,Drama,"<p>An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.</p>"
tuck-everlasting-vhs-floor-sale-kdis-family,Tuck Everlasting,Genre,Kids & Family,"<p>Teenager Winnie Foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but Winnie longs for a life of greater freedom and adventure.</p>"
turner-hooch-vhs-floor-sale-comedy,Turner & Hooch,Genre,Comedy,"<p>Detective Scott Turner has three days left in the local police department before he moves to a bigger city to get some 'real' cases—not just misdemeanors. When Amos Reed is murdered, Scott sets himself on the case, but the closest thing to a witness to the murder is Reed's dog, Hooch, which Scott has to take care of—to avoid Hooch being 'put to sleep'.</p>"
twister-vhs-floor-sale-action,Twister,Genre,Action,"<p>An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.</p>"
wisdom-vhs-rental-action,Wisdom,Genre,Action,"<p>Unable to find work after a past felony, graduate John Wisdom and his girlfriend embark on a cross-country bank-robbing spree in order to aid American farmers.</p>"
brainstorm-vhs-floor-sale-sci-fi,Brainstorm,Genre,Sci-Fi,<p>Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.</p>
dream-child-vhs-floor-sale-fantasy,Dream Child,Genre,Fantasy,"<p>80-year-old Alice Hargreaves is about to visit Columbia University to attend a reception in honour of author Lewis Carroll. As a child, Alice's close friendship with the writer was the creative catalyst for Carroll's most beloved work. However, as Alice reflects on her experiences with the author, she slowly realises the complexity of their bond has had lasting, deeply felt ramifications.</p>"
earthquake-vhs-floor-sale-action,Earthquake,Genre,Action,"<p>Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California.</p>"
mask-vhs,Mask,Genre,Drama,<p>A significantly deformed but highly intelligent teenage boy and his biker gang mother attempt to live as normal a life as possible under the circumstances.</p>
neon-city-vhs-floor-sale-sci-fi,Neon City,Genre,Sci-Fi,"<p>""Mad Max"" clone set in the not-too-distant future about a group of people trying to escape to a safe haven called Neon City after a solar disaster that has decimated the Earth.</p>"
pearl-harbor-vhs-floor-sale-action,Pearl Harbor,Genre,Action,"<p>The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.</p>"
ride-vhs-floor-sale-comedy,Ride,Genre,Comedy,"<p>Overbearing mom, Jackie, travels cross-country to be with her son, Angelo, after he drops out of college to become a surfer. She meets a surf instructor who convinces her to try to accept her son's wishes and allow him to follow his dreams.</p>"
somewhere-in-time-vhs,Somewhere in Time,Genre,Drama,"<p>Young writer Richard Collier is met on the opening night of his first play by an old lady who begs him to ""Come back to me"". Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early twentieth century. Becoming more and more obsessed with her, by self-hypnosis he manages to travel back in time—where he meets her.</p>"
the-bodyguard-vhs,The Bodyguard,Genre,Drama,"<p>A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.</p>"
total-recall-vhs-floor-sale-sci-fi,Total Recall,Genre,Sci-Fi,"<p>Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Rekall, a virtual vacation company that manufactures memories. When something goes wrong during Quaid's memory implant procedure, his life turns upside down, leading him to question what is reality and what isn't.</p>"
two-bits-vhs,Two Bits,Genre,Drama,"<p>It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.</p>"
deadlocked,Deadlocked,Genre,Thriller,"<p>A young man is accused of rape and murder and placed on trial. His father doesn't believe that he is guilty, so in act of desperation he grabs the bailiff's guns and takes the whole jury hostage and insists that the prosecuting attorney re-investigates the crime that his son's accused of.</p>"
trial,Trial,Genre,Thriller,"<p>In 1970, a man is tortured and murdered by the regime's secret police. Now nearly 40 years later, his friend, who had also been tortured, recognizes the man he deems responsible for the murder of his friend. Along with three old friends and the victim's daughter, they kidnap the man and take him to an isolated house. Once there, the concepts of justice and revenge begin to mix dangerously in a private trial with irreversible consequences.</p>"
shipwrecked,Shipwrecked,Genre,Kids & Family,<p>A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.</p>
dirty-little-secret,Dirty Little Secret,Genre,Thriller,"<p>The adopted son of a sheriff and his wife is kidnapped, but the motive goes beyond ransom.</p>"
mouth-to-mouth,Mouth to Mouth,Genre,Comedy,"<p>For financial reasons, an aspiring actor begins working for a phone-sex enterprise. Through his new line of work, he develops relationships with two regular clients: Bill, an elderly homosexual, and Amanda, a mysterious femme fatale.</p>"
twilight,Twilight,Genre,Thriller,"<p>A retired detective accepts a simple task, unaware that it will tear open old, forgotten, but deadly wounds.</p>"
missing-pieces,Missing Pieces,Genre,Comedy,"<p>As sole heir to a relative's estate, Wendel is surprised to learn that the only thing he's been left is a riddle. However, he and his musician friend, Lou, are soon thrust into a comic chase, as an assortment of unsavoury characters, underworld figures, and even private investigators, are after them for the inheritance - and they don't know what it is!</p>"
trial-by-jury,Trial by Jury,Genre,Drama,"<p>Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.</p>"
milk-money,Milk Money,Genre,Drama,"<p>Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.</p>"
echo-park,Echo Park,Genre,Drama,"<p>In the Echo Park neighborhood of Los Angeles, everybody is somebody else. May, a single mother who delivers strip-O-grams, dreams of being an actress. She rents one of her rooms out to a pizza-man cum songwriter named Jonathan. Meanwhile, in the next apartment, August, an Austrian bodybuilder, fancies himself the next Arnold Schwarzenegger. As the pressures of everyday life in LA mount, Jonathan and August vie for May's love.</p>"
prometheus,Prometheus,Genre,Sci-Fi,"<p>A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.</p>"
darkest-hour,Darkest Hour,Genre,Drama,"<p>In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire.</p>"
american-made,American Made,Genre,Thriller,"<p>The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.</p>"
true-grit,True Grit,Genre,Drama,"<p>Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.</p>"
shining,Shining,Genre,Horror,<p>A mysterious and terrifying paranormal presence terrorizes the inhabitants of a secret location.</p>
hugo,Hugo,Genre,Kids & Family,"<p>Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.</p>"
raging-bull,Raging Bull,Genre,Drama,"<p>The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.</p>"
graduate,Graduate,Genre,Drama,"<p>This is a story about 7 college students to graduate. Filming their trace for 2 years, it recorded stories about graduation and starting business in different major and family background. This film is to deepen into the vast social background and examine their life experience and social relationship in the round. 　　At present, problem of employment of college students has already become a hot topic in society. It also has great significance with educational reform and economic crisis around the world.</p>"
van-helsing,Van Helsing,Genre,Sci-Fi,<p>Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.</p>
blue-velvet,Blue Velvet,Genre,Drama,"<p>The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.</p>"
uncut-gems,Uncut Gems,Genre,Drama,"<p>""as work in progress: treasures found in the streams around me.""</p>"
grudge,Grudge,Genre,Horror,"<p>A mummy is found at a construction site, which is presumed to be made in Jo-Seon Dynasty period. It is transferred to Seoul and to be kept in Lee Dong-Hyeok's, an archeologist due to the state of the museum in the university. On that night, his wife's behavior is so strange. Knowing that his wife is not cured by the modern medical science, Dong-Hyeok gets help from Professor Yu, a psychicist. Yoo finds out the mummy is In Yeon-Ryong, who was killed on a false charge by Seon-Jo 3oo years ago. Dong-Hyeok makes every effort to return his wife to the normal condition.</p>"
re-animator,Re-Animator,Genre,Sci-Fi,"<p>Conducting clandestine experiments within the morgue at Miskatonic University, scientist Herbert West reveals to a fellow graduate student his groundbreaking work concerning the re-animation of fresh corpses.</p>"
enchanted,Enchanted,Genre,Kids & Family,"<p>The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?</p>"
cant-hardly-wait,Can't Hardly Wait,Genre,Comedy,"<p>It's graduation day at Huntington Hills High, and you know what that means - time to party. And not just any party, either. This one will be a night to remember, as the nerds become studs, the jocks are humiliated, and freshman crushes blossom into grown-up romance.</p>"
juno,Juno,Genre,Comedy,"<p>Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.</p>"
red-heat,Red Heat,Genre,Action,<p>A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.</p>
lost-in-translation,Lost in Translation,Genre,Comedy,"<p>Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.</p>"
medallion,Medallion,Genre,Action,"<p>The film, starring Yağmur Dilaveroğlu, has made it onto the list of the top 10 films of all time. The film’s score was composed by Çağrı Ergün.</p>"
get-out,Get Out,Genre,Horror,"<p>Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.</p>"
memento,Memento,Genre,Thriller,"<p>Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.</p>"
three-kings,Three Kings,Genre,Action,"<p>A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.</p>"
snatch-special-edition,Snatch (Special Edition),Genre,Drama,"<p>Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.</p>"
youve-got-mail,You've Got Mail,Genre,Romantic Comedy,<p>Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.</p>
catch-me-if-you-can,Catch Me If You Can,Genre,Drama,"<p>A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.</p>"
stripes,Stripes,Genre,Comedy,"<p>Hard-luck cabbie John Winger, directionless after being fired from his job and dumped by his girlfriend, enlists in the U.S. Army with his close pal, Russell Ziskey. After his barely satisfactory performance in basic training, the irreverent Winger emerges as the figurehead for a ragtag band of misfits. However, his hijinks threaten to cause an international scandal when he inadvertently commandeers a military assault vehicle behind enemy lines.</p>"
breaking-up-is-hard-to-do,Breaking Up Is Hard To Do,Genre,Comedy,"<p>Vince and Shonda have come to the proverbial end of their ropes with one another. Set in Atlanta during the 2008 Presidential Election season, Breaking Up Is Hard To Do is the touching story of what happens when two people feel they have nothing more to give to a relationship. A funny and intimate look at how people fall in love and what it takes to stay there, Breaking Up Is Hard To Do touches on the reality of the outside forces that can make or break a relationship. They say the truth will set you free, but when Shonda and Vince are armed with the truth, will they use it to set themselves free for once and for all?</p>"
unforgettable,Unforgettable,Genre,Thriller,"<p>Seattle medical examiner David Krane is obsessed with solving his wife's murder. A possible solution presents itself in an experimental ""memory"" serum designed by a neurobiology professor, which has the ability to transfer memories from one person to another, but with potentially fatal consequences.</p>"
bad-behavior,BAD BEHAVIOR,Genre,Comedy,"<p>The McAllister family house is the setting for Gerry and Ellie's grapples with work, children and how to get the bathroom fixed. Both have reached the stage where reason cannot be heard above the ticking clock of experience and ambition. When temptation comes, how will they react?</p>"
best-little-whorehouse-in-texas,Best Little Whorehouse in Texas,Genre,Musical,"<p>When a Conservative TV crusader threatens to shut down beloved brothel The Chicken Ranch, proprietress Miss Mona Stangley and her girls won't go down without a fight.</p>"
things-are-tough-all-over,Things Are Tough All Over,Genre,Comedy,"<p>Everybody has problems these days, and Cheech and Chong are no exceptions. They're hired by Slyman and Habib to drive a limousine to Las Vegas with $5 million secretly stashed in the front seat. In order to get there, the pair sells off the car piece by piece, including the seven-figure front seat. Cheech and Chong then have a much bigger problem - Slyman and Habib are after them, swearing to kill them after the appropriate torture.</p>"
whos-that-girl,Who's That Girl,Genre,Comedy,<p>An uptight New York City tax lawyer gets his life turned upside down one day when he's asked to escort a feisty free-spirited ex-convict who asks him to help prove her innocence of her crime.</p>
simpatico,Simpatico,Genre,Thriller,"<p>As youths in Azusa, Vinnie, Carter, and Rosie pull off a racing scam, substituting winners for plodders and winning big bucks on long odds. When an official uncovers the scam, they set him up for blackmail. Jump ahead twenty years, Carter and Rosie are married, successful racers in Kentucky about to sell their prize stallion, Simpatico. Vinnie is a drunk in Pomona. Vinnie decides to make a play for Rosie, lures Carter to California, steals his wallet and heads for Kentucky with the original blackmail material. Carter begs Vinnie's friend, a grocery clerk named Cecilia, to follow Vinnie and get the stuff back that he has in a box. Will she succeed?</p>"
the-big-town,The Big Town,Genre,Drama,"<p>It is 1957. J.C. Cullen is a young man from a small town, with a talent for winning at craps, who leaves for the big city to work as a professional gambler. While there, he breaks the bank at a private craps game at the Gem Club, owned by George Cole, and falls in love with two women, one of them Cole's wife.</p>"
birthday-girl,Birthday Girl,Genre,Thriller,"<p>John is a mild-mannered banker who has never been lucky in love. Fed up with waiting for the right girl to come along, John takes a chance on a Russian mail-order bride arranged via the Internet, where he is introduced to Nadia. John's fondness for Nadia grows... until the sudden arrival of Nadia's gregarious cousins makes John realize that he's in over his head.</p>"
brigadoon,Brigadoon,Genre,Musical,"<p>Americans Jeff and Tommy, hunting in Scotland, stumble upon a village - Brigadoon. They soon learn that the town appears once every 100 years in order to preserve its peace and special beauty. The citizens go to bed at night and when they wake up, it's 100 years later. Tommy falls in love with a beautiful young woman, Fiona, and is torn between staying or going back to his hectic life in New York.</p>"
lost-in-america,Lost In America,Genre,Comedy,"<p>David and Linda Howard are successful yuppies from LA. When he gets a job disappointment, David convinces Linda that they should quit their jobs, liquidate their assets, and emulate the movie Easy Rider, spending the rest of their lives traveling around America...in a Winnebago.</p>"
vital-signs,Vital Signs,Genre,Drama,"<p>As they enter their third year of medical school, a group of young students must prepare to decide what they intend to specialize in. Somehow, they must impress the Chief of Surgery while learning how to survive the life-and-death area of medicine and the complexity of their everyday lives.</p>"
tomcats,Tomcats,Genre,Comedy,"<p>College buddies chip in and promise that the group's last unmarried man will collect a cash pot. Seven years later, the kitty is worth $500,000 -- money Michael needs to pay a gambling debt. Problem is, the only other single guy is a hopeless womanizer!</p>"
the-birds,The Birds,Genre,Horror,<p>Thousands of birds flock into a seaside town and terrorize the residents in a series of deadly attacks.</p>
angel-on-my-shoulder,Angel on My Shoulder,Genre,Drama,"<p>A small-time Chicago hood, now deceased, gets a second chance at life by striking a bargain with the Devil to inhabit and attempt to corrupt a totally honest politician.</p>"
my-soul-to-take,My Soul to Take,Genre,Horror,"<p>On the day the Riverton Ripper vanished without a trace, seven children were born. Today, they're all turning 16... and turning up dead.</p>"
peninsula,Peninsula,Genre,Action,<p>This documentary explores the tranquil history of Italian surfing along with the passion and dedication of the pioneers who shaped it.</p>
cell,The Cell,Genre,Action,"<p>During an operation to capture the head of a terrorist cell, special operations officer Saif, is injured while his partner, Amr, is killed. Saif vows to take revenge with the help of officer, Saber, who's working the same case.</p>"
blue-steel,Blue Steel,Genre,Action,"<p>When Sheriff Jake sees a man at the safe and then finds the payroll gone, he trails him. Just as he is about to arrest him, the man saves his life. Still suspicious, he joins up with the man and later they learn that Melgrove, the towns leading citizen, is trying to take over the area's ranches by having his gang stop all incoming supply wagons. With the ranchers about to sell to Melgrove, the two newcomers say they will bring in provisions.</p>"
unleashed,Unleashed,Genre,Action,"<p>Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.</p>"
den-of-thieves,Den of Thieves,Genre,Action,<p>A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.</p>
venom,Venom,Genre,Action,"<p>Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.</p>"
shoot-em-up,Shoot 'Em Up,Genre,Action,"<p>A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.</p>"
driven,Driven,Genre,Action,"<p>Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.</p>"
